/home/brian/.local/lib/python3.6/site-packages/amuse/io/nemobin.py:19: FutureWarning: Passing (type, 1) or '1type' as a synonym of type is deprecated; in a future version of numpy, it will be understood as (type, (1,)) / '(1,)type'.
  dict['datatype'] = numpy.dtype((dict['datatype'], 1,))
|S11
simulation time:  0.0 yr
wall time: 0.03 minutes

simulation time:  1.0 yr
wall time: 4.51 minutes

simulation time:  2.0 yr
wall time: 8.79 minutes

simulation time:  3.0 yr
wall time: 13.16 minutes

simulation time:  4.0 yr
wall time: 18.12 minutes

simulation time:  5.0 yr
wall time: 22.92 minutes

simulation time:  6.0 yr
wall time: 27.78 minutes

simulation time:  7.0 yr
wall time: 32.55 minutes

simulation time:  8.0 yr
wall time: 37.64 minutes

simulation time:  9.0 yr
wall time: 42.48 minutes

simulation time:  10.0 yr
wall time: 47.35 minutes

simulation time:  11.0 yr
wall time: 52.06 minutes

simulation time:  12.0 yr
wall time: 57.04 minutes

simulation time:  13.0 yr
wall time: 61.85 minutes

simulation time:  14.0 yr
wall time: 67.06 minutes

simulation time:  15.0 yr
wall time: 72.12 minutes

simulation time:  16.0 yr
wall time: 77.03 minutes

simulation time:  17.0 yr
wall time: 81.89 minutes

simulation time:  18.0 yr
wall time: 86.86 minutes

simulation time:  19.0 yr
wall time: 92.91 minutes

simulation time:  20.0 yr
wall time: 98.70 minutes

simulation time:  21.0 yr
wall time: 103.84 minutes

simulation time:  22.0 yr
wall time: 109.53 minutes

simulation time:  23.0 yr
wall time: 114.28 minutes

simulation time:  24.0 yr
wall time: 119.17 minutes

simulation time:  25.0 yr
wall time: 123.96 minutes

simulation time:  26.0 yr
wall time: 128.99 minutes

simulation time:  27.0 yr
wall time: 133.86 minutes

simulation time:  28.0 yr
wall time: 138.84 minutes

simulation time:  29.0 yr
wall time: 143.61 minutes

simulation time:  30.0 yr
wall time: 147.83 minutes

simulation time:  31.0 yr
wall time: 152.08 minutes

simulation time:  32.0 yr
wall time: 156.34 minutes

simulation time:  33.0 yr
wall time: 160.71 minutes

simulation time:  34.0 yr
wall time: 164.89 minutes

simulation time:  35.0 yr
wall time: 169.11 minutes

simulation time:  36.0 yr
wall time: 173.30 minutes

simulation time:  37.0 yr
wall time: 177.42 minutes

simulation time:  38.0 yr
wall time: 181.54 minutes

simulation time:  39.0 yr
wall time: 185.78 minutes

simulation time:  40.0 yr
wall time: 190.10 minutes

simulation time:  41.0 yr
wall time: 194.19 minutes

simulation time:  42.0 yr
wall time: 198.44 minutes

simulation time:  43.0 yr
wall time: 202.76 minutes

simulation time:  44.0 yr
wall time: 207.02 minutes

simulation time:  45.0 yr
wall time: 211.25 minutes

simulation time:  46.0 yr
wall time: 217.08 minutes

simulation time:  47.0 yr
wall time: 222.80 minutes

simulation time:  48.0 yr
wall time: 227.06 minutes

simulation time:  49.0 yr
wall time: 231.33 minutes

simulation time:  50.0 yr
wall time: 235.60 minutes

simulation time:  51.0 yr
wall time: 239.84 minutes

simulation time:  52.0 yr
wall time: 244.02 minutes

simulation time:  53.0 yr
wall time: 248.25 minutes

simulation time:  54.0 yr
wall time: 252.65 minutes

simulation time:  55.0 yr
wall time: 256.87 minutes

simulation time:  56.0 yr
wall time: 261.10 minutes

simulation time:  57.0 yr
wall time: 265.47 minutes

simulation time:  58.0 yr
wall time: 269.64 minutes

simulation time:  59.0 yr
wall time: 273.83 minutes

simulation time:  60.0 yr
wall time: 277.99 minutes

simulation time:  61.0 yr
wall time: 282.30 minutes

simulation time:  62.0 yr
wall time: 286.54 minutes

simulation time:  63.0 yr
wall time: 290.72 minutes

simulation time:  64.0 yr
wall time: 295.01 minutes

simulation time:  65.0 yr
wall time: 299.17 minutes

simulation time:  66.0 yr
wall time: 303.32 minutes

simulation time:  67.0 yr
wall time: 307.51 minutes

simulation time:  68.0 yr
wall time: 311.94 minutes

simulation time:  69.0 yr
wall time: 316.14 minutes

simulation time:  70.0 yr
wall time: 321.14 minutes

simulation time:  71.0 yr
wall time: 326.12 minutes

simulation time:  72.0 yr
wall time: 330.50 minutes

simulation time:  73.0 yr
wall time: 334.90 minutes

simulation time:  74.0 yr
wall time: 339.09 minutes

simulation time:  75.0 yr
wall time: 343.46 minutes

simulation time:  76.0 yr
wall time: 347.78 minutes

simulation time:  77.0 yr
wall time: 352.02 minutes

simulation time:  78.0 yr
wall time: 356.34 minutes

simulation time:  79.0 yr
wall time: 360.52 minutes

simulation time:  80.0 yr
wall time: 364.75 minutes

simulation time:  81.0 yr
wall time: 368.97 minutes

simulation time:  82.0 yr
wall time: 373.29 minutes

simulation time:  83.0 yr
wall time: 377.50 minutes

simulation time:  84.0 yr
wall time: 381.80 minutes

simulation time:  85.0 yr
wall time: 386.06 minutes

simulation time:  86.0 yr
wall time: 389.66 minutes

simulation time:  87.0 yr
wall time: 391.73 minutes

simulation time:  88.0 yr
wall time: 393.85 minutes

simulation time:  89.0 yr
wall time: 395.96 minutes

simulation time:  90.0 yr
wall time: 398.06 minutes

simulation time:  91.0 yr
wall time: 400.12 minutes

simulation time:  92.0 yr
wall time: 402.16 minutes

simulation time:  93.0 yr
wall time: 404.32 minutes

simulation time:  94.0 yr
wall time: 406.40 minutes

simulation time:  95.0 yr
wall time: 408.51 minutes

simulation time:  96.0 yr
wall time: 410.67 minutes

simulation time:  97.0 yr
wall time: 412.80 minutes

simulation time:  98.0 yr
wall time: 414.94 minutes

simulation time:  99.0 yr
wall time: 417.05 minutes

/home/brian/.local/lib/python3.6/site-packages/amuse/support/literature.py:78: AmuseWarning: 

You have used the following codes, which contain literature references:

	"FiInterface"
		** Hernquist & Katz, 1989, ApJS 70, 419
		** Pelupessy, van der Werf & Icke, 2004, A&A 422, 55
		Pelupessy, PhD thesis 2005, Leiden Observatory
		Gerritsen & Icke, 1997, A&A 325, 972


	"AMUSE"
		Portegies Zwart, S. & McMillan, S.L.W., 2018, "Astrophysical Recipes: the art of AMUSE", AAS IOP Astronomy publishing (411 pages) [2018araa.book.....P]
		** Portegies Zwart, S. et al., 2013, Multi-physics Simulations Using a Hierarchical Interchangeable Software Interface, Computer Physics Communications 183, 456-468 [2013CoPhC.183..456P]
		** Pelupessy, F. I. et al., 2013, The Astrophysical Multipurpose Software Environment, Astronomy and Astrophysics 557, 84 [2013A&A...557A..84P]
		Portegies Zwart, S. et al., 2009, A multiphysics and multiscale software environment for modeling astrophysical systems, *New Astronomy*, **Volume 14**, **Issue 4**, 369-378 [2009NewA...14..369P]

  warnings.warn(prefix + self.all_literature_references_string(), exceptions.AmuseWarning)
